model_link_id,ROUTE_SYS,legacy_osm_lanes,mndot,widot,anoka,hennepin,carver,dakota,washington,naive,osm_min,osm_max,osm_mode
1,10,0,1,0,0,0,0,0,0,1,NA,NA,NA
2,NA,0,1,0,0,0,0,0,0,1,NA,NA,NA
3,5,0,2,0,0,0,0,0,0,1,2,2,2
4,5,0,2,0,0,0,0,0,0,1,2,2,2
5,NA,0,0,0,0,0,0,0,0,1,NA,NA,NA
6,NA,0,1,0,0,0,0,0,0,1,NA,NA,NA
7,NA,0,0,0,0,0,0,0,0,1,NA,NA,NA
8,21,0,0,0,0,0,0,0,0,1,NA,NA,NA
9,5,0,2,0,0,0,0,0,0,1,NA,NA,NA
10,NA,0,0,0,0,0,0,0,0,1,NA,NA,NA
11,NA,0,0,0,0,0,0,0,0,1,NA,NA,NA
12,10,0,2,0,0,0,0,0,0,1,NA,NA,NA
13,10,0,0,0,0,0,0,0,0,1,NA,NA,NA
14,10,0,2,0,0,0,0,0,0,1,NA,NA,NA
15,NA,0,0,0,0,0,0,0,0,1,NA,NA,NA
16,NA,0,0,0,0,0,0,0,0,1,NA,NA,NA
17,NA,0,0,0,0,0,0,0,0,1,NA,NA,NA
18,10,0,1,0,0,0,0,0,0,1,NA,NA,NA
19,10,0,1,0,0,0,0,0,0,1,NA,NA,NA
20,10,0,2,0,0,0,0,0,0,1,NA,NA,NA
21,5,0,0,0,0,0,0,0,0,1,NA,NA,NA
22,10,0,0,0,0,0,0,0,0,1,NA,NA,NA
23,10,0,0,0,0,0,0,0,0,1,NA,NA,NA
24,10,0,2,0,0,0,0,0,0,1,NA,NA,NA
25,10,0,1,0,0,0,0,0,0,1,NA,NA,NA
26,10,0,1,0,0,0,0,0,0,1,NA,NA,NA
27,10,0,1,0,0,0,0,0,0,1,NA,NA,NA
28,NA,0,0,0,0,0,0,0,0,1,NA,NA,NA
29,10,0,1,0,0,0,0,0,0,1,NA,NA,NA
30,10,0,1,0,0,0,0,0,0,1,NA,NA,NA
31,10,0,0,0,0,0,0,0,0,1,NA,NA,NA
32,10,0,1,0,0,0,0,0,0,1,NA,NA,NA
33,10,0,0,0,0,0,0,0,0,1,NA,NA,NA
34,10,0,0,0,0,0,0,0,0,1,NA,NA,NA
35,10,0,1,0,0,0,0,0,0,1,NA,NA,NA
36,10,0,1,0,0,0,0,0,0,1,NA,NA,NA
37,10,0,1,0,0,0,0,0,0,1,NA,NA,NA
38,10,0,1,0,0,0,0,0,0,1,NA,NA,NA
39,10,0,1,0,0,0,0,0,0,1,NA,NA,NA
40,NA,0,1,0,0,0,0,0,0,1,NA,NA,NA
41,NA,0,1,0,0,0,0,0,0,1,NA,NA,NA
42,NA,0,1,0,0,0,0,0,0,1,NA,NA,NA
43,10,0,1,0,0,0,0,0,0,1,NA,NA,NA
44,10,0,1,0,0,0,0,0,0,1,NA,NA,NA
45,10,0,1,0,0,0,0,0,0,1,NA,NA,NA
46,10,0,1,0,0,0,0,0,0,1,NA,NA,NA
47,10,0,1,0,0,0,0,0,0,1,NA,NA,NA
48,10,0,1,0,0,0,0,0,0,1,NA,NA,NA
49,10,0,1,0,0,0,0,0,0,1,NA,NA,NA
50,10,0,1,0,0,0,0,0,0,1,NA,NA,NA
51,10,0,1,0,0,0,0,0,0,1,NA,NA,NA
52,10,0,1,0,0,0,0,0,0,1,NA,NA,NA
53,10,0,1,0,0,0,0,0,0,1,NA,NA,NA
54,10,0,1,0,0,0,0,0,0,1,NA,NA,NA
55,10,0,1,0,0,0,0,0,0,1,NA,NA,NA
56,10,0,1,0,0,0,0,0,0,1,NA,NA,NA
57,10,0,1,0,0,0,0,0,0,1,NA,NA,NA
58,4,0,2,0,0,0,0,0,2,1,NA,NA,NA
59,10,0,1,0,0,0,0,0,0,1,NA,NA,NA
60,70,0,1,0,0,0,0,0,0,1,NA,NA,NA
61,10,0,1,0,0,0,0,0,0,1,NA,NA,NA
62,NA,0,0,0,0,0,0,0,0,1,NA,NA,NA
63,10,0,1,0,0,0,0,0,0,1,NA,NA,NA
64,NA,0,0,0,0,0,0,0,0,1,NA,NA,NA
65,10,0,1,0,0,0,0,0,0,1,NA,NA,NA
66,10,0,1,0,0,0,0,0,0,1,NA,NA,NA
67,10,0,1,0,0,0,0,0,0,1,NA,NA,NA
68,10,0,1,0,0,0,0,0,0,1,NA,NA,NA
69,10,0,1,0,0,0,0,0,0,1,NA,NA,NA
70,10,0,0,0,0,0,0,0,0,1,NA,NA,NA
71,10,0,1,0,0,0,0,0,0,1,NA,NA,NA
72,10,0,1,0,0,0,0,0,0,1,NA,NA,NA
73,10,0,1,0,0,0,0,0,0,1,NA,NA,NA
74,10,0,1,0,0,0,0,0,0,1,NA,NA,NA
75,5,0,1,0,0,0,0,0,0,1,NA,NA,NA
76,10,0,1,0,0,0,0,0,0,1,NA,NA,NA
77,22,0,1,0,0,0,0,0,0,1,NA,NA,NA
78,5,0,1,0,0,0,0,0,0,1,NA,NA,NA
79,5,0,1,0,0,0,0,0,0,1,NA,NA,NA
80,NA,0,0,0,0,0,0,0,0,1,NA,NA,NA
81,10,0,0,0,0,0,0,0,0,1,NA,NA,NA
82,10,0,1,0,0,0,0,0,0,1,NA,NA,NA
83,10,0,0,0,0,0,0,0,0,1,NA,NA,NA
84,10,0,1,0,0,0,0,0,0,1,NA,NA,NA
85,10,1,1,0,0,0,0,0,0,1,2,2,2
86,10,1,1,0,0,0,0,0,0,1,2,2,2
87,4,1,1,0,0,0,0,0,0,1,1,1,1
88,8,0,0,0,0,0,0,0,0,1,NA,NA,NA
89,8,0,0,0,0,0,0,0,0,1,NA,NA,NA
90,8,0,0,0,0,0,0,0,0,1,NA,NA,NA
91,8,0,0,0,0,0,0,0,0,1,NA,NA,NA
92,8,0,0,0,0,0,0,0,0,1,NA,NA,NA
93,8,0,1,0,0,0,0,0,0,1,NA,NA,NA
94,8,0,1,0,0,0,0,0,0,1,NA,NA,NA
95,8,0,0,0,0,0,0,0,0,1,NA,NA,NA
96,10,0,1,0,0,0,0,0,0,1,NA,NA,NA
97,10,0,1,0,0,0,0,0,0,1,NA,NA,NA
98,10,0,1,0,0,0,0,0,0,1,NA,NA,NA
99,10,0,1,0,0,0,0,0,0,1,NA,NA,NA
100,NA,0,0,0,0,0,0,0,0,1,NA,NA,NA
101,NA,1,0,0,0,0,0,0,0,1,2,2,2
