shstReferenceId,rdclass,rdclass_min,rdclass_max
0000037040782adfb8de22b5d678e809,[40],40,40
0000154d645095516264555c8429c131,[50],50,50
00006124f67aba16014f326928b86c18,[50],50,50
00006422da2d11ea8adaa8e1da144cd4,[50],50,50
0000a9dfd4e721636724d4a3aae5062e,[50],50,50
0000bffefb86bb316db10cbfb4d6246e,[20],20,20
0000c1291dbc3dba3ce025e32671712a,[40],40,40
0000d138eafea5570d4f7477ff7c3dc4,[50],50,50
0000d36ecb7edfc01b38fd3f67a5a20f,[50],50,50
0000e89579afe3a24646957c3782658a,[50],50,50
0000f29a148ed7a2f2927738284fb452,[50],50,50
0000f88516ff6618d7892fde612165de,[50],50,50
0000f929d51b9fbbd472fcf179816ed2,[40],40,40
000108a909d919b24c87a4bb7b1ce0e0,[50],50,50
00010d274663f166d5b17c057e80569b,[50],50,50
0001256b5b49a16c70ee8782eb31aff8,[50],50,50
000164f6d631cd8ac506baafa8fe7f9c,[50],50,50
000173f0e58db63c44e35d07f933c930,[50],50,50
0001981aa0707b74c9977cbcccce74bb,[50],50,50
0001ad765079047f54d416254303279b,[50],50,50
0001bd830dbc268888113f957fdb1791,[30],30,30
0001d5142db3b7abb0deac19218cbc2e,[40],40,40
00020896327daccf0241229878088940,[50],50,50
000209abcbddd599f1f21fafe4cdc1d2,[50],50,50
0002106fc51bcd6fe3dc43f045f426d5,[50],50,50
0002204b4c655e3d857cae665ac515de,[50],50,50
000228aa93713c134e4d9d8f5b1a303c,[40],40,40
000242b8bc8666e9504bd07712a5548d,[50],50,50
0002968b1e56e000fefb724f6429498d,[30],30,30
0002f8ecc79745d1453ccf88d3f60aaa,[40],40,40
0003010e0dd38495f2c7be312d0d73ad,[50],50,50
00031a47e57e90f58584bcc924faaf96,[30],30,30
00032bcf21c8429530f74e751e88bf67,[50],50,50
000394b37fd51b549446006bdc60393a,[40],40,40
0003b78a96ec67caca85c7cf9e052aa9,[50],50,50
0003cdb66f55cc5f656f802068bf140d,[40],40,40
0003d75570903a0af609c6834f7993ca,[50],50,50
0003e47d9b99e0e960b395b570afc94e,[40],40,40
00044f846923aaf2f21dc393dd615049,[30],30,30
0004d04caec2b0dfcabc74f51fc41765,[40],40,40
000516379115c6c597b6b4022d8a8ea7,[40],40,40
00051f20da8aa33a29910e53ec2b1f06,[40],40,40
000539147cb2737db4875b6031033d72,[40],40,40
00054887c790cf6efe1d8648d3ffc148,[40],40,40
00056168c3f5ad476b583c788a65f4b6,[30],30,30
0005a0ba297650ccd5114a87cd94d518,[50],50,50
0005aabec4e5382005d990d342f4e3ef,[50],50,50
0005d339e3187214ece2355e1de02c1a,[50],50,50
0005fb6a92f12eff4e0dfc43d4353734,[40],40,40
0006ae8856e3dde02519031ec111179d,[40],40,40
0006c5e35badb68979ce5f2eefd7a317,[50],50,50
0006c6626ff6a8e90cf7b86931ce7e2f,[40],40,40
0006d1e9d7b2a842fffedf2c18fbd54f,[40],40,40
00072c7bb0733e404be881fbbb2c1df2,[50],50,50
00074e786c386921b50ca40d35f414e7,[20],20,20
0007886308edcc19a9c0e06b45cdff47,[50],50,50
0007a81575939d4506fb70aa36e4bd25,[50],50,50
00080d10fe78ad42cc7f69770355455e,[50],50,50
000813726ca16584d8b7a7b8945f3e3a,[40],40,40
0008321525c7742f93f01710490bd720,[50],50,50
00085f7696a4d64feae4bb76c774ba2f,[50],50,50
00086b6cab15c1f435c6c1ca6c74ef10,[50],50,50
0008c0075f3bd8d4ef775e4e1b2c7f50,[50],50,50
0008d1d936f4497cba11319cad69b1ba,[50],50,50
0008d5360e13e6624616a741ea8685b0,[50],50,50
000907645cb8d3a30c640007395308c9,[50],50,50
000915ac69936be5ffe1b399d0b60a71,[50],50,50
00092e7c989e91c46273fc8b6d1b40ad,[50],50,50
000935dfa9edfa4452fbad6a50f38c6d,[50],50,50
00094f32903813f0dc06901fe8c20ab9,[50],50,50
000957e5d0d86cfeb50bbaa09bccd90b,[50],50,50
000992924a57ce8f2136cc36c56801c0,[50],50,50
0009b1147fd55e668f7e412f6d051530,[50],50,50
0009df8089e4a22c683aecf73aa12877,[40],40,40
0009f6271f2b6bb5058410b8d75d4df4,[50],50,50
000a1e0933e3ebea610bee7ef9ed04f7,[50],50,50
000a4352111feb070becf179b321c3cf,[60],60,60
000a6ff511e641a73fa8355d3e982a3c,[50],50,50
000a7e7691a484233d7886b055e24c3d,[40],40,40
000a8a5f878c01a96e1bdd0fb5c8f6e0,[40],40,40
000a9b0a6e843b96da2be047b0b37110,[30],30,30
000aa976a87b7a4057dd06caa615dd00,[40],40,40
000ac628f1ce3d8c088c8b246bbc7c3c,[50],50,50
000ad4996f857766d92fb45c90f17373,[30],30,30
000adc665a883d5748b7548efaf6bb25,[40],40,40
000b00688b80b45753465e7be0f7cc3e,[30],30,30
000b5229e05152bf05c9fc418fab5301,[50],50,50
000b6a2cc57e96bcc57d0ec555fc1d97,[40],40,40
000b6c0b3531df460a341dd01ff516e8,[50],50,50
000bac705d33a1846ca13a85276571ec,[50],50,50
000bae214144d6329310c1e31b75b08f,[50],50,50
000bcd80f49f4ea5573db4cb95766a69,[40],40,40
000be7bf65f69e281e22b973104c342d,[40],40,40
000bf5ce2fe6b14d512ba25f126ffa59,[50],50,50
000bfeb8fc8e32a5777fc0c9388e753d,[50],50,50
000bfecad99996b1ac5bf38ff7fac48c,[50],50,50
000c0747ac2fc9af5f29fb36037b8d00,[50],50,50
